Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Race,Race Code,Year,Year Code,Sex,Sex Code,Count,Population,Crude Rate
,Brain and Other Nervous System,31010-31040,Alaska,2,White,2106-3,2015,2015,Female,F,22,242374,9.08
,Brain and Other Nervous System,31010-31040,Alaska,2,White,2106-3,2015,2015,Male,M,18,273252,6.59
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2011,2011,Female,F,208,2788178,7.46
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2011,2011,Male,M,220,2754565,7.99
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2012,2012,Female,F,199,2816706,7.06
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2012,2012,Male,M,232,2782701,8.34
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2013,2013,Female,F,175,2843978,6.15
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2013,2013,Male,M,244,2806827,8.69
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2014,2014,Female,F,197,2878205,6.84
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2014,2014,Male,M,240,2840796,8.45
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2015,2015,Female,F,183,2913189,6.28
,Brain and Other Nervous System,31010-31040,Arizona,4,White,2106-3,2015,2015,Male,M,208,2874247,7.24
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2011,2011,Female,F,74,1208534,6.12
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2011,2011,Male,M,110,1180539,9.32
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2012,2012,Female,F,89,1211397,7.35
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2012,2012,Male,M,109,1183451,9.21
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2013,2013,Female,F,91,1213343,7.5
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2013,2013,Male,M,124,1184519,10.47
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2014,2014,Female,F,110,1215123,9.05
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2014,2014,Male,M,119,1186277,10.03
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2015,2015,Female,F,78,1217669,6.41
,Brain and Other Nervous System,31010-31040,Arkansas,5,White,2106-3,2015,2015,Male,M,109,1188839,9.17
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2011,2011,Female,F,100,2967067,3.37
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2011,2011,Male,M,104,2695993,3.86
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2012,2012,Female,F,103,3032731,3.4
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2012,2012,Male,M,114,2755340,4.14
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2013,2013,Female,F,94,3103643,3.03
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2013,2013,Male,M,118,2820468,4.18
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2014,2014,Female,F,97,3179279,3.05
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2014,2014,Male,M,134,2890096,4.64
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2015,2015,Female,F,105,3258001,3.22
,Brain and Other Nervous System,31010-31040,California,6,Asian or Pacific Islander,A-PI,2015,2015,Male,M,107,2961706,3.61
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2011,2011,Female,F,48,1387646,3.46
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2011,2011,Male,M,67,1352508,4.95
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2012,2012,Female,F,34,1394784,2.44
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2012,2012,Male,M,58,1362472,4.26
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2013,2013,Female,F,41,1401796,2.92
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2013,2013,Male,M,76,1369274,5.55
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2014,2014,Female,F,42,1410053,2.98
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2014,2014,Male,M,58,1381572,4.2
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2015,2015,Female,F,45,1418322,3.17
,Brain and Other Nervous System,31010-31040,California,6,Black or African American,2054-5,2015,2015,Male,M,60,1392128,4.31
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2011,2011,Female,F,820,14234455,5.76
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2011,2011,Male,M,1094,14293651,7.65
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2012,2012,Female,F,828,14327672,5.78
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2012,2012,Male,M,1147,14387823,7.97
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2013,2013,Female,F,927,14416615,6.43
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2013,2013,Male,M,1138,14468917,7.87
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2014,2014,Female,F,880,14502917,6.07
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2014,2014,Male,M,1170,14557451,8.04
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2015,2015,Female,F,946,14569723,6.49
,Brain and Other Nervous System,31010-31040,California,6,White,2106-3,2015,2015,Male,M,1095,14627619,7.49
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2011,2011,Female,F,138,2290625,6.02
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2011,2011,Male,M,192,2302584,8.34
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2012,2012,Female,F,140,2318686,6.04
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2012,2012,Male,M,175,2332497,7.5
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2013,2013,Female,F,138,2349095,5.87
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2013,2013,Male,M,162,2364061,6.85
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2014,2014,Female,F,157,2380229,6.6
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2014,2014,Male,M,201,2398523,8.38
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2015,2015,Female,F,135,2417473,5.58
,Brain and Other Nervous System,31010-31040,Colorado,8,White,2106-3,2015,2015,Male,M,223,2441429,9.13
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2011,2011,Female,F,117,1528544,7.65
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2011,2011,Male,M,143,1459411,9.8
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2012,2012,Female,F,102,1524329,6.69
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2012,2012,Male,M,129,1456656,8.86
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2013,2013,Female,F,117,1519477,7.7
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2013,2013,Male,M,156,1453298,10.73
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2014,2014,Female,F,87,1511814,5.75
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2014,2014,Male,M,132,1447510,9.12
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2015,2015,Female,F,106,1502633,7.05
,Brain and Other Nervous System,31010-31040,Connecticut,9,White,2106-3,2015,2015,Male,M,153,1439364,10.63
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2011,2011,Female,F,32,337583,9.48
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2011,2011,Male,M,26,321544,8.09
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2012,2012,Female,F,33,339692,9.71
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2012,2012,Male,M,26,323953,8.03
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2013,2013,Female,F,28,341749,8.19
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2013,2013,Male,M,32,325587,9.83
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2014,2014,Female,F,33,344071,9.59
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2014,2014,Male,M,25,327677,7.63
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2015,2015,Female,F,22,345971,6.36
,Brain and Other Nervous System,31010-31040,Delaware,10,White,2106-3,2015,2015,Male,M,32,329539,9.71
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2011,2011,Female,F,59,1691643,3.49
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2011,2011,Male,M,73,1575615,4.63
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2012,2012,Female,F,65,1728341,3.76
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2012,2012,Male,M,73,1607022,4.54
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2013,2013,Female,F,57,1757102,3.24
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2013,2013,Male,M,68,1634694,4.16
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2014,2014,Female,F,71,1792285,3.96
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2014,2014,Male,M,74,1667399,4.44
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2015,2015,Female,F,48,1827363,2.63
,Brain and Other Nervous System,31010-31040,Florida,12,Black or African American,2054-5,2015,2015,Male,M,70,1701217,4.11
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2011,2011,Female,F,576,7718779,7.46
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2011,2011,Male,M,732,7444634,9.83
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2012,2012,Female,F,588,7798844,7.54
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2012,2012,Male,M,699,7522121,9.29
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2013,2013,Female,F,616,7879972,7.82
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2013,2013,Male,M,755,7602498,9.93
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2014,2014,Female,F,531,7990618,6.65
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2014,2014,Male,M,757,7707630,9.82
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2015,2015,Female,F,605,8124532,7.45
,Brain and Other Nervous System,31010-31040,Florida,12,White,2106-3,2015,2015,Male,M,766,7834395,9.78
,Brain and Other Nervous System,31010-31040,Florida,12,Other Races and Unknown combined,2131-1,2014,2014,Female,F,17,Not Applicable,Not Applicable
,Brain and Other Nervous System,31010-31040,Florida,12,Other Races and Unknown combined,2131-1,2014,2014,Male,M,24,Not Applicable,Not Applicable
,Brain and Other Nervous System,31010-31040,Florida,12,Other Races and Unknown combined,2131-1,2015,2015,Female,F,17,Not Applicable,Not Applicable
,Brain and Other Nervous System,31010-31040,Florida,12,Other Races and Unknown combined,2131-1,2015,2015,Male,M,18,Not Applicable,Not Applicable
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2011,2011,Female,F,60,1656219,3.62
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2011,2011,Male,M,50,1467837,3.41
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2012,2012,Female,F,71,1680487,4.22
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2012,2012,Male,M,57,1491510,3.82
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2013,2013,Female,F,48,1704192,2.82
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2013,2013,Male,M,64,1509744,4.24
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2014,2014,Female,F,57,1734763,3.29
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2014,2014,Male,M,62,1533497,4.04
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2015,2015,Female,F,55,1767421,3.11
,Brain and Other Nervous System,31010-31040,Georgia,13,Black or African American,2054-5,2015,2015,Male,M,48,1559252,3.08
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2011,2011,Female,F,203,3146514,6.45
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2011,2011,Male,M,268,3115813,8.6
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2012,2012,Female,F,208,3165663,6.57
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2012,2012,Male,M,280,3134385,8.93
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2013,2013,Female,F,233,3174695,7.34
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2013,2013,Male,M,276,3138143,8.8
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2014,2014,Female,F,209,3191328,6.55
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2014,2014,Male,M,271,3151565,8.6
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2015,2015,Female,F,223,3209693,6.95
,Brain and Other Nervous System,31010-31040,Georgia,13,White,2106-3,2015,2015,Male,M,304,3167199,9.6
,Brain and Other Nervous System,31010-31040,Hawaii,15,Asian or Pacific Islander,A-PI,2012,2012,Female,F,22,515539,4.27
,Brain and Other Nervous System,31010-31040,Hawaii,15,Asian or Pacific Islander,A-PI,2013,2013,Female,F,23,519574,4.43
,Brain and Other Nervous System,31010-31040,Hawaii,15,Asian or Pacific Islander,A-PI,2013,2013,Male,M,17,489533,3.47
,Brain and Other Nervous System,31010-31040,Hawaii,15,Asian or Pacific Islander,A-PI,2014,2014,Male,M,19,491739,3.86
,Brain and Other Nervous System,31010-31040,Hawaii,15,Asian or Pacific Islander,A-PI,2015,2015,Female,F,18,524192,3.43
,Brain and Other Nervous System,31010-31040,Hawaii,15,Asian or Pacific Islander,A-PI,2015,2015,Male,M,23,493613,4.66
,Brain and Other Nervous System,31010-31040,Hawaii,15,White,2106-3,2012,2012,Female,F,16,159534,10.03
,Brain and Other Nervous System,31010-31040,Hawaii,15,White,2106-3,2013,2013,Male,M,20,189887,10.53
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2011,2011,Female,F,33,754000,4.38
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2011,2011,Male,M,61,756517,8.06
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2012,2012,Female,F,48,758969,6.32
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2012,2012,Male,M,72,761203,9.46
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2013,2013,Female,F,51,765683,6.66
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2013,2013,Male,M,62,768372,8.07
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2014,2014,Female,F,47,775063,6.06
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2014,2014,Male,M,71,778015,9.13
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2015,2015,Female,F,54,783154,6.9
,Brain and Other Nervous System,31010-31040,Idaho,16,White,2106-3,2015,2015,Male,M,95,786456,12.08
,Brain and Other Nervous System,31010-31040,Illinois,17,Asian or Pacific Islander,A-PI,2014,2014,Female,F,23,372119,6.18
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2011,2011,Female,F,34,1043267,3.26
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2011,2011,Male,M,54,924174,5.84
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2012,2012,Female,F,28,1042603,2.69
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2012,2012,Male,M,31,924985,3.35
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2013,2013,Female,F,21,1042088,2.02
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2013,2013,Male,M,37,925486,4
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2014,2014,Female,F,37,1040237,3.56
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2014,2014,Male,M,33,924982,3.57
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2015,2015,Female,F,36,1037462,3.47
,Brain and Other Nervous System,31010-31040,Illinois,17,Black or African American,2054-5,2015,2015,Male,M,38,923958,4.11
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2011,2011,Female,F,356,5122168,6.95
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2011,2011,Male,M,437,5020157,8.7
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2012,2012,Female,F,327,5116642,6.39
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2012,2012,Male,M,417,5016520,8.31
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2013,2013,Female,F,341,5108497,6.68
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2013,2013,Male,M,420,5013240,8.38
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2014,2014,Female,F,355,5093945,6.97
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2014,2014,Male,M,420,5000369,8.4
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2015,2015,Female,F,333,5070849,6.57
,Brain and Other Nervous System,31010-31040,Illinois,17,White,2106-3,2015,2015,Male,M,454,4981627,9.11
,Brain and Other Nervous System,31010-31040,Indiana,18,Black or African American,2054-5,2011,2011,Male,M,18,314664,5.72
,Brain and Other Nervous System,31010-31040,Indiana,18,Black or African American,2054-5,2014,2014,Female,F,18,350208,5.14
,Brain and Other Nervous System,31010-31040,Indiana,18,Black or African American,2054-5,2015,2015,Male,M,17,330897,5.14
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2011,2011,Female,F,181,2891520,6.26
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2011,2011,Male,M,275,2816512,9.76
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2012,2012,Female,F,198,2893862,6.84
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2012,2012,Male,M,240,2820762,8.51
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2013,2013,Female,F,199,2900255,6.86
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2013,2013,Male,M,254,2828035,8.98
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2014,2014,Female,F,192,2905091,6.61
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2014,2014,Male,M,230,2833344,8.12
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2015,2015,Female,F,180,2905942,6.19
,Brain and Other Nervous System,31010-31040,Indiana,18,White,2106-3,2015,2015,Male,M,224,2834795,7.9
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2011,2011,Female,F,124,1452541,8.54
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2011,2011,Male,M,136,1420571,9.57
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2012,2012,Female,F,117,1453603,8.05
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2012,2012,Male,M,146,1422804,10.26
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2013,2013,Female,F,96,1455522,6.6
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2013,2013,Male,M,125,1425863,8.77
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2014,2014,Female,F,100,1457588,6.86
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2014,2014,Male,M,151,1429217,10.57
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2015,2015,Female,F,107,1458803,7.33
,Brain and Other Nervous System,31010-31040,Iowa,19,White,2106-3,2015,2015,Male,M,116,1432345,8.1
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2011,2011,Female,F,96,1285365,7.47
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2011,2011,Male,M,138,1263246,10.92
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2012,2012,Female,F,93,1289100,7.21
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2012,2012,Male,M,102,1269046,8.04
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2013,2013,Female,F,97,1289383,7.52
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2013,2013,Male,M,111,1271446,8.73
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2014,2014,Female,F,69,1289432,5.35
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2014,2014,Male,M,109,1272908,8.56
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2015,2015,Female,F,77,1290030,5.97
,Brain and Other Nervous System,31010-31040,Kansas,20,White,2106-3,2015,2015,Male,M,113,1274639,8.87
,Brain and Other Nervous System,31010-31040,Kentucky,21,Black or African American,2054-5,2011,2011,Male,M,16,184669,8.66
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2011,2011,Female,F,156,1994114,7.82
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2011,2011,Male,M,186,1929252,9.64
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2012,2012,Female,F,151,1996975,7.56
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2012,2012,Male,M,184,1934017,9.51
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2013,2013,Female,F,162,1999569,8.1
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2013,2013,Male,M,189,1938409,9.75
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2014,2014,Female,F,145,2002623,7.24
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2014,2014,Male,M,196,1941043,10.1
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2015,2015,Female,F,164,2004619,8.18
,Brain and Other Nervous System,31010-31040,Kentucky,21,White,2106-3,2015,2015,Male,M,178,1943275,9.16
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2011,2011,Female,F,30,788124,3.81
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2011,2011,Male,M,25,716561,3.49
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2012,2012,Female,F,20,794655,2.52
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2012,2012,Male,M,40,722344,5.54
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2013,2013,Female,F,30,801278,3.74
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2013,2013,Male,M,29,727905,3.98
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2014,2014,Female,F,26,806414,3.22
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2014,2014,Male,M,23,732464,3.14
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2015,2015,Female,F,25,810799,3.08
,Brain and Other Nervous System,31010-31040,Louisiana,22,Black or African American,2054-5,2015,2015,Male,M,30,736467,4.07
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2011,2011,Female,F,83,1487690,5.58
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2011,2011,Male,M,115,1463066,7.86
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2012,2012,Female,F,117,1493887,7.83
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2012,2012,Male,M,141,1469177,9.6
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2013,2013,Female,F,104,1497419,6.95
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2013,2013,Male,M,127,1473535,8.62
,Brain and Other Nervous System,31010-31040,Louisiana,22,White,2106-3,2014,2014,Female,F,89,1502137,5.92
